Ticker,period,close,perc_change,close_wig,perc_change_wig,Assets,Number of shares,Market_value
K2H,30/09/2019,8.1,-0.1,57320.3,-0.05,50222000,"2,485,032",20128759.2
K2H,30/06/2019,8.99,-0.01,60187.43,0.01,51626000,"2,485,032",22340437.68
K2H,31/03/2019,9.08,-0.13,59668.03,0.03,51114000,"2,485,032",22564090.56
K2H,31/12/2018,10.4,-0.03,57690.5,-0.02,43385000,"2,485,032",25844332.8
K2H,30/09/2018,10.8,-0.07,58974.76,0.05,53853000,"2,485,032",26838345.6
K2H,30/06/2018,11.6,-0.05,55954.44,-0.04,53862000,"2,485,032",28826371.2
K2H,31/03/2018,12.2,0.13,58377.42,-0.08,50441000,"2,485,032",30317390.4
K2H,31/12/2017,10.8,-0.14,63746.2,-0.01,51054000,"2,485,032",26838345.6
K2H,30/09/2017,12.6,0.05,64289.69,0.05,52643000,"2,485,032",31311403.2
K2H,30/06/2017,11.9,0.14,61018.36,0.05,53369000,"2,485,032",29571880.8
K2H,31/03/2017,10.4,0.03,57911.31,0.12,50466000,"2,485,032",25844332.8
K2H,31/12/2016,10.1,-0.03,51754.03,0.1,51820000,"2,485,032",25098823.2
K2H,30/09/2016,10.4,-0.08,47084.94,0.05,52076000,"2,485,032",25844332.8
K2H,30/06/2016,11.3,-0.22,44748.53,-0.09,54757000,"2,485,032",28080861.6
K2H,31/03/2016,14.5,0.29,49017.35,0.05,54270000,"2,485,032",36032964
K2H,31/12/2015,11.2,0.34,46467.38,-0.07,53577000,"2,485,032",27832358.4
K2H,30/09/2015,8.36,0.1,49824.59,-0.07,56943000,"2,485,032",20774867.52
K2H,30/06/2015,7.59,0.04,53328.98,-0.01,58996000,"2,485,032",18861392.88
K2H,31/03/2015,7.33,0.09,54091.32,0.05,55207000,"2,485,032",18215284.56
K2H,31/12/2014,6.72,-0.14,51416.08,-0.06,55279000,"2,485,032",16699415.04
K2H,30/09/2014,7.8,-0.01,54878.58,0.06,55587000,"2,485,032",19383249.6
K2H,30/06/2014,7.86,0.16,51934.94,-0.01,57824000,"2,485,032",19532351.52
K2H,31/03/2014,6.8,-0.15,52373.47,0.02,59202000,"2,485,032",16898217.6
K2H,31/12/2013,7.98,-0.15,51284.25,0.02,56430000,"2,485,032",19830555.36
K2H,30/09/2013,9.41,0.69,50301.85,0.12,56952000,"2,485,032",23384151.12
K2H,30/06/2013,5.58,-0.48,44747.79,-0.01,57090000,"2,485,032",13866478.56
K2H,31/03/2013,10.8,-0.05,45147.57,-0.05,56646000,"2,485,032",26838345.6
K2H,31/12/2012,11.4,0.29,47460.59,0.09,59692000,"2,485,032",28329364.8
K2H,30/09/2012,8.87,-0.01,43739.81,0.07,30974000,"2,485,032",22042233.84
K2H,30/06/2012,8.94,-0.34,40810.88,-0.01,28149000,"2,026,000",18112440
K2H,31/03/2012,13.6,0.11,41267.16,0.1,27340000,"2,026,000",27553600
K2H,31/12/2011,12.2,0.07,37595.44,-0.02,27536000,"2,026,000",24717200
K2H,30/06/2011,15.9,-0.1,48414.36,-0.01,24615000,"2,026,000",32213400
K2H,31/03/2011,17.6,0.25,48729.83,0.03,26097000,"2,026,000",35657600
K2H,31/12/2010,14,0.5,47489.91,0.05,28500000,"2,026,000",28364000
K2H,30/06/2010,8.98,-0.19,39392.5,-0.07,22797000,"2,030,000",18229400
K2H,31/03/2010,11.1,1.02,42446.5,0.06,23112000,"2,030,000",22533000
K2H,31/12/2009,5.48,-0.12,39986,0.06,25243000,"2,030,000",11124400
K2H,30/06/2009,7.36,-0.15,30419,0.27,20993000,"2,030,000",14940800
K2H,31/03/2009,8.67,-0.01,24036.1,-0.12,20644000,"2,030,000",17600100
K2H,31/12/2008,8.72,-0.13,27228.6,-0.27,22111000,"2,030,000",17701600
KCI,30/09/2021,1.41,-0.01,70340.86,0.06,456776000,"68,582,150",96700831.5
KCI,30/06/2021,1.42,0.35,66067.21,0.14,454148000,"68,582,150",97386653
KCI,31/03/2021,1.05,0.48,58081.5,0.02,446131000,"68,582,150",72011257.5
KCI,31/12/2020,0.71,0.03,57025.84,0.15,445029000,"68,582,150",48693326.5
KCI,30/09/2020,0.69,-0.13,49411.53,0,439741000,"68,582,150",47321683.5
KCI,30/06/2020,0.79,1.12,49569.17,0.19,439506000,"68,582,150",54179898.5
KCI,31/03/2020,0.372,-0.23,41624.62,-0.28,444602000,"68,582,150",25512559.8
KCI,31/12/2019,0.482,0.26,57832.88,0.01,444674000,"68,582,150",33056596.3
KCI,30/09/2019,0.382,-0.19,57320.3,-0.05,421262000,"68,582,150",26198381.3
KCI,30/06/2019,0.47,-0.15,60187.43,0.01,421594000,"68,582,150",32233610.5
KCI,31/03/2019,0.556,0.18,59668.03,0.03,414608000,"68,582,150",38131675.4
KCI,31/12/2018,0.47,-0.19,57690.5,-0.02,435135000,"68,582,150",32233610.5
KCI,30/09/2018,0.58,0.05,58974.76,0.05,339116000,"68,582,150",39777647
KCI,30/06/2018,0.55,-0.25,55954.44,-0.04,337442000,"68,582,150",37720182.5
KCI,31/03/2018,0.73,-0.12,58377.42,-0.08,339053000,"68,582,150",50064969.5
KCI,31/12/2017,0.83,-0.05,63746.2,-0.01,343106000,"68,582,150",56923184.5
KCI,30/09/2017,0.87,-0.28,64289.69,0.05,403080000,"68,582,150",59666470.5
KCI,30/06/2017,1.21,0.64,61018.36,0.05,397856000,"68,582,150",82984401.5
KCI,31/03/2017,0.74,0.07,57911.31,0.12,410124000,"68,582,150",50750791
KCI,31/12/2016,0.69,-0.18,51754.03,0.1,406852000,"68,582,150",47321683.5
KCI,30/09/2016,0.84,0,47084.94,0.05,406771000,"68,582,150",57609006
KCI,30/06/2016,0.84,0.5,44748.53,-0.09,427262000,"68,582,151",57609006.84
KCI,31/03/2016,0.56,-0.33,49017.35,0.05,449562000,"62,571,826",35040222.56
KCI,31/12/2015,0.84,0.5,46467.38,-0.07,447009000,"62,571,826",52560333.84
KCI,30/09/2015,0.56,-0.5,49824.59,-0.07,489674000,"62,571,826",35040222.56
KCI,30/06/2015,1.12,1,53328.98,-0.01,484691000,"62,571,826",70080445.12
KCI,31/03/2015,0.56,0,54091.32,0.05,119809000,"21,662,500",12131000
KCI,31/12/2014,0.56,-0.33,51416.08,-0.06,131121000,"21,662,500",12131000
KCI,30/09/2014,0.84,0,54878.58,0.06,129102000,"21,662,500",18196500
KCI,30/06/2014,0.84,-0.4,51934.94,-0.01,88925000,"21,662,500",18196500
KCI,31/03/2014,1.4,0.14,52373.47,0.02,28092000,"21,662,500",30327500
KCI,31/12/2013,1.232,-0.12,51284.25,0.02,29510000,"21,662,500",26688200
KCI,30/09/2013,1.4,0.25,50301.85,0.12,32554000,"21,662,500",30327500
KCI,30/06/2013,1.12,-0.13,44747.79,-0.01,33579000,"21,662,500",24262000
KCI,31/03/2013,1.288,0.02,45147.57,-0.05,33820000,"21,662,500",27901300
KCI,31/12/2012,1.26,-0.04,47460.59,0.09,32905000,"21,662,500",27294750
KCI,30/09/2012,1.316,-0.06,43739.81,0.07,32443000,"21,662,500",28507850
KCI,30/06/2012,1.4,-0.29,40810.88,-0.01,32073000,"21,662,500",30327500
KCI,31/03/2012,1.96,0.52,41267.16,0.1,43930000,"21,662,500",42458500
KCI,31/12/2011,1.288,0.12,37595.44,-0.02,45151000,"21,662,500",27901300
KCI,30/06/2011,2.24,-0.19,48414.36,-0.01,34854000,"150,337,750",336756560
KCI,31/03/2011,2.772,-0.2,48729.83,0.03,35542000,"150,337,750",416736243
KCI,31/12/2010,3.472,-0.27,47489.91,0.05,37517000,"150,337,750",521972668
KCI,30/06/2010,4.088,-0.14,39392.5,-0.07,51392000,"150,337,750",614580722
KCI,31/03/2010,4.732,-0.05,42446.5,0.06,90109000,"150,337,750",711398233
KCI,31/12/2009,4.984,-0.21,39986,0.06,97992000,"150,337,750",749283346
KCI,30/06/2009,4.872,0.05,30419,0.27,110210000,"150,337,750",732445518
KCI,31/03/2009,4.648,-0.13,24036.1,-0.12,123908000,"150,337,750",698769862
KCI,31/12/2008,5.32,-0.16,27228.6,-0.27,126607000,"150,337,750",799796830
KCI,30/06/2008,10.5,-0.24,41146.3,-0.14,202131000,"150,337,750",1578546375
KCI,31/03/2008,13.832,-0.49,48011.3,-0.14,245588000,"150,337,750",2079471758
KCI,31/12/2007,27.3,-0.43,55648.5,-0.08,256314000,"150,337,750",4104220575
KCI,30/06/2007,85.372,0.48,66077.7,0.15,94643000,"25,056,292",2139105761
KCI,31/03/2007,57.736,2.46,57524.6,0.14,62549000,"3,579,470",206664279.9
KCI,31/12/2006,16.688,1.47,50411.8,0.14,48151000,"3,579,470",59734195.36
KCI,30/06/2006,3.78,0.26,40644.6,0.01,41054000,"3,579,470",13530396.6
KCI,31/03/2006,2.996,0.39,40220.3,0.13,40572000,"3,579,470",10724092.12
KCI,31/12/2005,2.156,-0.21,35600.8,0.05,33933000,"3,579,470",7717337.32
KCI,30/09/2005,2.716,-0.01,33801.2,0.19,29798000,"3,579,470",9721840.52
KCI,30/06/2005,2.744,-0.07,28332.1,0.04,30792000,"3,579,470",9822065.68
KCI,31/03/2005,2.94,-0.01,27268.1,0.02,30557000,"3,579,470",10523641.8
KCI,31/12/2004,2.968,-0.05,26636.2,0.05,29110000,"3,579,470",10623866.96
KCI,30/09/2004,3.136,0.38,25267.8,0.06,29065000,"3,579,470",11225217.92
KCI,30/06/2004,2.268,0.09,23949.3,0,28266000,"3,579,470",8118237.96
KCI,31/03/2004,2.072,-0.01,23870.1,0.15,26564000,"3,579,470",7416661.84
KCI,31/12/2003,2.1,0.27,20820.1,0.08,25616000,"3,579,470",7516887
KCI,30/09/2003,1.652,0.37,19330.5,0.21,27481000,"3,579,470",5913284.44
KCI,30/06/2003,1.204,0.02,15987.5,0.16,27005000,"3,579,470",4309681.88
KCI,31/03/2003,1.176,-0.28,13759.4,-0.04,27435000,"3,579,470",4209456.72
KCI,31/12/2002,1.624,-0.02,14366.7,0.12,26772000,"3,579,470",5813059.28
KCI,30/09/2002,1.652,-0.09,12797.3,-0.1,28483000,"3,579,470",5913284.44
KCI,30/06/2002,1.82,0.33,14192.9,-0.06,28004000,"3,579,470",6514635.4
KCI,31/03/2002,1.372,-0.27,15026.4,0.08,28122000,"3,579,470",4911032.84
KCI,31/12/2001,1.876,-0.03,13922.2,0.17,27538000,"3,579,470",6715085.72
KCI,30/09/2001,1.932,-0.03,11890.6,-0.15,27475000,"3,579,470",6915536.04
KCI,30/06/2001,1.988,-0.01,13945.4,-0.05,27791000,"3,579,470",7115986.36
KCI,31/03/2001,2.016,0.16,14698.9,-0.18,28189000,"3,579,470",7216211.52
KCI,31/12/2000,1.736,-0.18,17847.6,0.06,27282000,"3,579,470",6213959.92
KCI,30/09/2000,2.128,-0.08,16882.6,-0.14,27383000,"3,579,470",7617112.16
KCI,30/06/2000,2.324,0.93,19642.7,-0.08,27101000,"3,579,470",8318688.28
KCI,31/03/2000,1.204,0.13,21255.9,0.18,27029000,"3,579,470",4309681.88
KCI,31/12/1999,1.064,0.06,18083.6,0.27,26535000,"3,579,470",3808556.08
KCI,30/09/1999,1.008,-0.14,14259.4,-0.15,26239000,"3,579,470",3608105.76
KCI,30/06/1999,1.176,0.17,16825.1,0.19,26030000,"3,579,470",4209456.72
KCI,31/03/1999,1.008,-0.05,14131.3,0.1,27291000,"3,579,470",3608105.76
KCI,31/12/1998,1.064,0.06,12795.6,0.05,26487000,"3,579,470",3808556.08
KCI,30/06/1998,2.016,-0.41,15728.6,-0.07,25815000,"3,579,470",7216211.52
KGH,31/12/2021,139.4,-0.12,69296.26,-0.01,43458000000,"200,000,000",27880000000
KGH,30/09/2021,157.65,-0.16,70340.86,0.06,42602000000,"200,000,000",31530000000
KGH,30/06/2021,187.65,-0.01,66067.21,0.14,42110000000,"200,000,000",37530000000
KGH,31/03/2021,188.61,0.04,58081.5,0.02,39930000000,"200,000,000",37722000000
KGH,31/12/2020,181.47,0.55,57025.84,0.15,39342000000,"200,000,000",36294000000
KGH,30/09/2020,117.01,0.3,49411.53,0,38275000000,"200,000,000",23402000000
KGH,30/06/2020,90.14,0.52,49569.17,0.19,38285000000,"200,000,000",18028000000
KGH,31/03/2020,59.32,-0.37,41624.62,-0.28,38897000000,"200,000,000",11864000000
KGH,31/12/2019,94.78,0.19,57832.88,0.01,35989000000,"200,000,000",18956000000
KGH,30/09/2019,79.33,-0.23,57320.3,-0.05,36788000000,"200,000,000",15866000000
KGH,30/06/2019,102.63,-0.03,60187.43,0.01,36047000000,"200,000,000",20526000000
KGH,31/03/2019,106.1,0.2,59668.03,0.03,35261000000,"200,000,000",21220000000
KGH,31/12/2018,88.14,0,57690.5,-0.02,34250000000,"200,000,000",17628000000
KGH,30/09/2018,88.35,0.01,58974.76,0.05,33005000000,"200,000,000",17670000000
KGH,30/06/2018,87.26,0.01,55954.44,-0.04,32739000000,"200,000,000",17452000000
KGH,31/03/2018,86.09,-0.22,58377.42,-0.08,31480000000,"200,000,000",17218000000
KGH,31/12/2017,110.27,-0.05,63746.2,-0.01,30947000000,"200,000,000",22054000000
KGH,30/09/2017,116.42,0.07,64289.69,0.05,31332000000,"200,000,000",23284000000
KGH,30/06/2017,108.75,-0.04,61018.36,0.05,30728000000,"200,000,000",21750000000
KGH,31/03/2017,113.82,0.25,57911.31,0.12,30548000000,"200,000,000",22764000000
KGH,31/12/2016,90.9,0.24,51754.03,0.1,30100000000,"200,000,000",18180000000
KGH,30/09/2016,73.22,0.15,47084.94,0.05,35066000000,"200,000,000",14644000000
KGH,30/06/2016,63.54,-0.13,44748.53,-0.09,35013000000,"200,000,000",12708000000
KGH,31/03/2016,73.26,0.2,49017.35,0.05,33824000000,"200,000,000",14652000000
KGH,31/12/2015,61.12,-0.23,46467.38,-0.07,33120000000,"200,000,000",12224000000
KGH,30/09/2015,78.89,-0.23,49824.59,-0.07,37002000000,"200,000,000",15778000000
KGH,30/06/2015,102.57,-0.08,53328.98,-0.01,36114000000,"200,000,000",20514000000
KGH,31/03/2015,111.84,0.1,54091.32,0.05,34195000000,"200,000,000",22368000000
KGH,31/12/2014,101.45,-0.14,51416.08,-0.06,32312000000,"200,000,000",20290000000
KGH,30/09/2014,117.89,0.06,54878.58,0.06,31579000000,"200,000,000",23578000000
KGH,30/06/2014,111.43,0.14,51934.94,-0.01,30626000000,"200,000,000",22286000000
KGH,31/03/2014,97.49,-0.08,52373.47,0.02,30014000000,"200,000,000",19498000000
KGH,31/12/2013,105.64,-0.04,51284.25,0.02,29038000000,"200,000,000",21128000000
KGH,30/09/2013,110.4,0.11,50301.85,0.12,28790000000,"200,000,000",22080000000
KGH,30/06/2013,99.64,-0.23,44747.79,-0.01,29147000000,"200,000,000",19928000000
KGH,31/03/2013,129.92,-0.17,45147.57,-0.05,28432000000,"200,000,000",25984000000
KGH,31/12/2012,156.46,0.25,47460.59,0.09,28177000000,"200,000,000",31292000000
KGH,30/09/2012,125.56,0.31,43739.81,0.07,28199277000,"200,000,000",25112000000
KGH,30/06/2012,96.08,0.01,40810.88,-0.01,31008731000,"200,000,000",19216000000
KGH,31/03/2012,94.81,0.29,41267.16,0.1,30530661000,"200,000,000",18962000000
KGH,31/12/2011,73.28,-0.16,37595.44,-0.02,29252000000,"200,000,000",14656000000
KGH,30/09/2011,86.8,-0.28,38268.75,-0.21,24960933000,"200,000,000",17360000000
KGH,30/06/2011,120.65,0.09,48414.36,-0.01,23701137000,"200,000,000",24130000000
KGH,31/03/2011,110.36,0.04,48729.83,0.03,21052646000,"200,000,000",22072000000
KGH,31/12/2010,105.94,0.47,47489.91,0.05,19829296000,"200,000,000",21188000000
KGH,30/09/2010,71.84,0.32,45236.72,0.15,17854830000,"200,000,000",14368000000
KGH,30/06/2010,54.26,-0.15,39392.5,-0.07,16976883000,"200,000,000",10852000000
KGH,31/03/2010,63.7,0.01,42446.5,0.06,15452082000,"200,000,000",12740000000
KGH,31/12/2009,62.93,0.23,39986,0.06,13953030000,"200,000,000",12586000000
KGH,30/09/2009,51.29,0.24,37580.3,0.24,13733831000,"200,000,000",10258000000
KGH,30/06/2009,41.21,0.78,30419,0.27,14656977000,"200,000,000",8242000000
KGH,31/03/2009,23.11,0.62,24036.1,-0.12,14052687000,"200,000,000",4622000000
KGH,31/12/2008,14.22,-0.44,27228.6,-0.27,13900564000,"200,000,000",2844000000
KGH,30/09/2008,25.26,-0.45,37367.3,-0.09,12770278000,"200,000,000",5052000000
KGH,30/06/2008,45.91,-0.02,41146.3,-0.14,13754400000,"200,000,000",9182000000
KGH,31/03/2008,47.02,-0.03,48011.3,-0.14,13114136000,"200,000,000",9404000000
KGH,31/12/2007,48.58,-0.14,55648.5,-0.08,12423630000,"200,000,000",9716000000
KGH,30/09/2007,56.71,0.15,60368.9,-0.09,13180038000,"200,000,000",11342000000
KGH,30/06/2007,49.36,0.27,66077.7,0.15,13925037000,"200,000,000",9872000000
KGH,31/03/2007,38.79,0.1,57524.6,0.14,13184264000,"200,000,000",7758000000
KGH,31/12/2006,35.26,-0.12,50411.8,0.14,12251437000,"200,000,000",7052000000
KGH,30/09/2006,39.9,0.02,44052.5,0.08,12194974000,"200,000,000",7980000000
KGH,30/06/2006,38.97,0.3,40644.6,0.01,13500660000,"200,000,000",7794000000
KGH,31/03/2006,29.95,0.33,40220.3,0.13,11472559000,"200,000,000",5990000000
KGH,31/12/2005,22.55,0.33,35600.8,0.05,10977254000,"200,000,000",4510000000
KGH,30/09/2005,16.96,0.47,33801.2,0.19,9592403000,"200,000,000",3392000000
KGH,30/06/2005,11.55,0.1,28332.1,0.04,9484942000,"200,000,000",2310000000
KGH,31/03/2005,10.46,-0.02,27268.1,0.02,8900014000,"200,000,000",2092000000
KGH,31/12/2004,10.63,-0.08,26636.2,0.05,8948436000,"200,000,000",2126000000
KGH,30/09/2004,11.52,0.2,25267.8,0.06,8668275000,"200,000,000",2304000000
KGH,30/06/2004,9.58,-0.12,23949.3,0,8573103000,"200,000,000",1916000000
KGH,31/03/2004,10.91,0.23,23870.1,0.15,8697485000,"200,000,000",2182000000
KGH,31/12/2003,8.9,0.34,20820.1,0.08,8212967000,"200,000,000",1780000000
KGH,30/09/2003,6.66,0.37,19330.5,0.21,7866869000,"200,000,000",1332000000
KGH,30/06/2003,4.88,0.19,15987.5,0.16,7795727000,"200,000,000",976000000
KGH,31/03/2003,4.11,-0.1,13759.4,-0.04,8343604000,"200,000,000",822000000
KGH,31/12/2002,4.59,0.2,14366.7,0.12,8155072000,"200,000,000",918000000
KGH,30/09/2002,3.82,-0.15,12797.3,-0.1,8092710000,"200,000,000",764000000
KGH,30/06/2002,4.49,-0.1,14192.9,-0.06,8144331000,"200,000,000",898000000
KGH,31/03/2002,5.01,0.13,15026.4,0.08,8028648000,"200,000,000",1002000000
KGH,31/12/2001,4.42,0.23,13922.2,0.17,7739361000,"200,000,000",884000000
KGH,30/09/2001,3.6,-0.37,11890.6,-0.15,6763297000,"200,000,000",720000000
KGH,30/06/2001,5.69,-0.19,13945.4,-0.05,6401926000,"200,000,000",1138000000
KGH,31/03/2001,7.03,-0.2,14698.9,-0.18,6082669000,"200,000,000",1406000000
KGH,31/12/2000,8.77,-0.1,17847.6,0.06,5756870000,"200,000,000",1754000000
KGH,30/09/2000,9.75,-0.11,16882.6,-0.14,5563718000,"200,000,000",1950000000
KGH,30/06/2000,10.91,0.03,19642.7,-0.08,5257318000,"200,000,000",2182000000
KGH,31/03/2000,10.63,0.19,21255.9,0.18,5083778000,"200,000,000",2126000000
KGH,31/12/1999,8.9,0.13,18083.6,0.27,4883709000,"200,000,000",1780000000
KGH,30/09/1999,7.88,-0.1,14259.4,-0.15,5267503000,"200,000,000",1576000000
KGH,30/06/1999,8.73,0.42,16825.1,0.19,5041122000,"200,000,000",1746000000
KGH,31/03/1999,6.15,0.45,14131.3,0.1,5021408000,"200,000,000",1230000000
KGH,31/12/1998,4.25,0.09,12795.6,0.05,4974870000,"200,000,000",850000000
KGH,30/09/1998,3.91,-0.18,12238.3,-0.22,5030532000,"200,000,000",782000000
KGH,30/06/1998,4.79,0.13,15728.6,-0.07,4949927000,"200,000,000",958000000
KGH,31/03/1998,4.25,-0.07,16864,0.15,5036215000,"200,000,000",850000000
KGL,30/09/2021,15.7,-0.07,70340.86,0.06,408290000,"7,129,259",111929366.3
KGL,30/06/2021,16.9,0.06,66067.21,0.14,402927000,"7,129,259",120484477.1
KGL,31/03/2021,16.01,-0.07,58081.5,0.02,369582000,"7,129,259",114139436.6
KGL,31/12/2020,17.19,0.14,57025.84,0.15,347462000,"7,129,259",122551962.2
KGL,30/09/2020,15.08,0.1,49411.53,0,308902000,"7,159,200",107960736
KGL,30/06/2020,13.66,0.2,49569.17,0.19,302276000,"7,159,200",97794672
KGL,31/03/2020,11.41,-0.06,41624.62,-0.28,301577000,"7,159,200",81686472
KGL,31/12/2019,12.18,-0.02,57832.88,0.01,278696000,"7,159,200",87199056
KGL,30/09/2019,12.41,0.01,57320.3,-0.05,279401000,"7,159,200",88845672
KGL,30/06/2019,12.28,0.04,60187.43,0.01,276418000,"7,159,200",87914976
KGL,31/03/2019,11.81,-0.04,59668.03,0.03,277984000,"7,159,200",84550152
KGL,31/12/2018,12.28,-0.22,57690.5,-0.02,272322000,"7,159,200",87914976
KGL,30/09/2018,15.77,0.01,58974.76,0.05,135915000,"7,159,200",112900584
KGL,30/06/2018,15.58,-0.16,55954.44,-0.04,139210000,"7,159,200",111540336
KGL,31/03/2018,18.48,-0.06,58377.42,-0.08,124207000,"7,159,200",132302016
KGL,31/12/2017,19.59,-0.15,63746.2,-0.01,123855000,"7,159,200",140248728
KGL,30/09/2017,23.04,0.01,64289.69,0.05,126220000,"7,159,200",164947968
KGL,30/06/2017,22.92,-0.03,61018.36,0.05,113242000,"7,159,200",164088864
KGL,31/03/2017,23.61,0.24,57911.31,0.12,119265000,"7,159,200",169028712
KGL,31/12/2016,18.98,-0.03,51754.03,0.1,115559000,"7,159,200",135881616
KGL,30/09/2016,19.5,-0.03,47084.94,0.05,117253000,"7,159,200",139604400
KGL,30/06/2016,20.04,0.15,44748.53,-0.09,119172000,"7,159,200",143470368
KGL,31/03/2016,17.5,-0.02,49017.35,0.05,118118000,"7,159,200",125286000
KGN,31/12/2021,27.9,-0.16,69296.26,-0.01,2208051000,"14,900,000",415710000
KGN,30/09/2021,33.2,-0.04,70340.86,0.06,1849676000,"14,900,000",494680000
KGN,30/06/2021,34.7,-0.04,66067.21,0.14,1882822000,"14,900,000",517030000
KGN,31/03/2021,36,0.03,58081.5,0.02,2151860000,"14,900,000",536400000
KGN,31/12/2020,35,0.04,57025.84,0.15,1979402000,"14,900,000",521500000
KGN,30/09/2020,33.7,-0.13,49411.53,0,1828070000,"14,900,000",502130000
KGN,30/06/2020,38.8,0.43,49569.17,0.19,1838782000,"14,900,000",578120000
KGN,31/03/2020,27.1,-0.21,41624.62,-0.28,1983118000,"14,900,000",403790000
KGN,31/12/2019,34.4,0.09,57832.88,0.01,1835501000,"14,900,000",512560000
KGN,30/09/2019,31.5,-0.06,57320.3,-0.05,1797607000,"14,900,000",469350000
KGN,30/06/2019,33.6,-0.05,60187.43,0.01,1801146000,"14,900,000",500640000
KGN,31/03/2019,35.5,-0.11,59668.03,0.03,1901217000,"14,900,000",528950000
KGN,31/12/2018,40,-0.28,57690.5,-0.02,1738083000,"14,900,000",596000000
KGN,30/09/2018,55.2,-0.16,58974.76,0.05,1716815000,"14,900,000",822480000
KGN,30/06/2018,65.8,-0.12,55954.44,-0.04,1740936000,"14,900,000",980420000
KGN,31/03/2018,74.3,-0.08,58377.42,-0.08,1790419000,"14,900,000",1107070000
KGN,31/12/2017,81,0.03,63746.2,-0.01,1724175000,"14,900,000",1206900000
KGN,30/09/2017,78.7,-0.05,64289.69,0.05,1640371000,"14,900,000",1172630000
KGN,30/06/2017,83,-0.01,61018.36,0.05,1765390000,"14,900,000",1236700000
KGN,31/03/2017,84.3,0.05,57911.31,0.12,1809389000,"14,900,000",1256070000
KGN,31/12/2016,80.1,-0.05,51754.03,0.1,1728633000,"14,900,000",1193490000
KGN,30/09/2016,83.9,0.11,47084.94,0.05,1689045000,"14,900,000",1250110000
KGN,30/06/2016,75.8,0.13,44748.53,-0.09,1781534000,"14,900,000",1129420000
KGN,31/03/2016,67.1,0.23,49017.35,0.05,1820486000,"14,900,000",999790000
KGN,31/12/2015,54.6,-0.12,46467.38,-0.07,1786138000,"14,900,000",813540000
KGN,30/09/2015,62.1,0.1,49824.59,-0.07,1731147000,"14,900,000",925290000
KGN,30/06/2015,56.2,0.16,53328.98,-0.01,1722952000,"14,900,000",837380000
KGN,31/03/2015,48.4,0.01,54091.32,0.05,1612326000,"14,900,000",721160000
KGN,31/12/2014,48,-0.18,51416.08,-0.06,1627684000,"14,900,000",715200000
KGN,30/09/2014,58.3,-0.01,54878.58,0.06,1624696000,"14,900,000",868670000
KGN,30/06/2014,58.8,0.09,51934.94,-0.01,1535106000,"14,900,000",876120000
KGN,31/03/2014,54.2,0.27,52373.47,0.02,1362588000,"14,900,000",807580000
KGN,31/12/2013,42.6,-0.2,51284.25,0.02,1416439000,"14,900,000",634740000
KGN,30/09/2013,53.4,0.15,50301.85,0.12,1351062000,"14,900,000",795660000
KGN,30/06/2013,46.3,-0.14,44747.79,-0.01,1311289000,"14,900,000",689870000
KGN,31/03/2013,54,-0.25,45147.57,-0.05,1296075000,"14,900,000",804600000
KGN,31/12/2012,71.6,0.03,47460.59,0.09,1423976000,"14,900,000",1066840000
KGN,30/09/2012,69.6,0.23,43739.81,0.07,1298709000,"14,900,000",1037040000
KGN,30/06/2012,56.5,-0.17,40810.88,-0.01,1304834000,"14,900,000",841850000
KGN,31/03/2012,68.3,0.26,41267.16,0.1,1266554000,"14,900,000",1017670000
KGN,31/12/2011,54.3,-0.07,37595.44,-0.02,1367760000,"14,900,000",809070000
KGN,30/06/2011,71.1,0.04,48414.36,-0.01,1252168000,"14,900,000",1059390000
KGN,31/03/2011,68.3,-0.17,48729.83,0.03,1296963000,"14,900,000",1017670000
KGN,31/12/2010,82.7,-0.02,47489.91,0.05,1322785000,"14,900,000",1232230000
KGN,30/06/2010,79.5,0.06,39392.5,-0.07,1155544000,"14,900,000",1184550000
KGN,31/03/2010,75.2,0.31,42446.5,0.06,1170326000,"14,900,000",1120480000
KGN,31/12/2009,57.4,0,39986,0.06,1260268000,"14,900,000",855260000
KGN,30/06/2009,56.9,0.28,30419,0.27,1027767000,"14,900,000",847810000
KGN,31/03/2009,44.3,0.2,24036.1,-0.12,1008812000,"14,900,000",660070000
KGN,31/12/2008,37,-0.05,27228.6,-0.27,1049859000,"14,900,000",551300000
KGN,30/06/2008,39,-0.01,41146.3,-0.14,944417000,"14,900,000",581100000
KGN,31/03/2008,39.6,-0.04,48011.3,-0.14,921839000,"14,900,000",590040000
KGN,31/12/2007,41.2,-0.08,55648.5,-0.08,902919000,"14,900,000",613880000
KGN,30/06/2007,39.5,0.17,66077.7,0.15,891224000,"14,900,000",588550000
KGN,31/03/2007,33.8,-0.09,57524.6,0.14,876150000,"14,900,000",503620000
KGN,31/12/2006,37.1,-0.07,50411.8,0.14,903550000,"14,900,000",552790000
KGN,30/09/2006,39.9,0.26,44052.5,0.08,831635000,"14,900,000",594510000
KGN,30/06/2006,31.6,0.07,40644.6,0.01,837125000,"14,900,000",470840000
KGN,31/03/2006,29.5,0,40220.3,0.13,878808000,"14,900,000",439550000
KGN,31/12/2005,29.5,0,35600.8,0.05,899360000,"14,900,000",439550000
KGN,30/09/2005,29.5,0.52,33801.2,0.19,789911000,"14,900,000",439550000
KGN,30/06/2005,19.4,0.08,28332.1,0.04,851287000,"14,900,000",289060000
