No,open,high,low,close,perc_change,abs_change,vol,Ticker,period
73,0.900,0.990,0.710,0.845,-9.14%,-0.085,"532,287",CCE,31-03-2022
72,1.340,1.870,0.880,0.930,-32.61%,-0.450,"2,908,165",CCE,31-12-2021
71,1.390,1.830,1.080,1.380,-0.72%,-0.010,"4,275,513",CCE,30-09-2021
70,0.330,2.480,0.320,1.390,+324.43%,+1.062,"7,731,066",CCE,30-06-2021
69,0.225,0.550,0.225,0.328,+31.00%,+0.078,"269,520",CCE,31-03-2021
68,0.210,0.300,0.210,0.250,-16.67%,-0.050,"119,746",CCE,31-12-2020
67,0.350,0.350,0.300,0.300,0.00%,0.000,"4,803",CCE,31-12-2019
66,0.350,0.350,0.300,0.300,0.00%,0.000,"4,803",CCE,30-06-2019
65,0.300,0.400,0.300,0.300,0.00%,0.000,"214,213",CCE,31-12-2015
64,0.300,0.350,0.250,0.300,0.00%,0.000,"66,696",CCE,30-09-2015
63,0.350,0.350,0.250,0.300,-14.29%,-0.050,"99,862",CCE,30-06-2015
62,0.300,0.350,0.300,0.350,+16.67%,+0.050,"46,506",CCE,31-03-2015
61,0.400,0.450,0.250,0.300,-33.33%,-0.150,"270,517",CCE,31-12-2014
60,0.300,0.450,0.250,0.450,+50.00%,+0.150,"215,513",CCE,30-09-2014
59,0.600,0.650,0.250,0.300,-53.85%,-0.350,"470,783",CCE,30-06-2014
58,0.650,0.850,0.600,0.650,+18.18%,+0.100,"800,473",CCE,31-03-2014
57,0.650,0.750,0.550,0.550,-21.43%,-0.150,"429,784",CCE,31-12-2013
56,0.850,0.950,0.550,0.700,-22.22%,-0.200,"329,509",CCE,30-09-2013
55,1.000,1.050,0.850,0.900,-14.29%,-0.150,"130,670",CCE,30-06-2013
54,1.000,1.250,0.950,1.050,+5.00%,+0.050,"687,283",CCE,31-03-2013
53,1.050,1.350,0.950,1.000,0.00%,0.000,"1,642,213",CCE,31-12-2012
