No,open,high,low,close,perc_change,abs_change,vol,Ticker,period
16,21.16,30.67,21.16,27.89,+30.63%,+6.54,"809,219",MSW,30-09-1997
15,21.16,26.16,20.67,21.35,-1.77%,-0.38,"1,202,065",MSW,30-06-1997
14,13.75,22.31,13.65,21.73,+59.16%,+8.08,"1,881,735",MSW,31-03-1997
13,14.23,14.62,12.98,13.65,-2.07%,-0.29,"1,095,481",MSW,31-12-1996
12,11.64,14.14,10.96,13.94,+20.83%,+2.40,"1,784,023",MSW,30-09-1996
11,9.04,13.37,9.04,11.54,+30.44%,+2.69,"1,629,984",MSW,30-06-1996
10,6.54,9.52,6.15,8.85,+36.30%,+2.36,"1,945,486",MSW,31-03-1996
9,6.49,6.73,5.14,6.49,+2.27%,+0.14,"715,273",MSW,31-12-1995
8,6.44,6.83,5.67,6.35,-4.35%,-0.29,"849,539",MSW,30-09-1995
7,6.39,8.27,5.96,6.63,+4.54%,+0.29,"1,506,544",MSW,30-06-1995
6,7.26,7.74,5.29,6.35,-4.35%,-0.29,"1,236,474",MSW,31-03-1995
5,11.35,12.02,4.76,6.63,-36.11%,-3.75,"1,568,165",MSW,31-12-1994
4,9.42,14.90,9.42,10.39,+11.34%,+1.06,"1,166,201",MSW,30-09-1994
3,18.94,19.14,8.37,9.33,-55.61%,-11.68,"1,469,539",MSW,30-06-1994
2,12.79,26.64,12.79,21.01,+80.58%,+9.38,"3,411,603",MSW,31-03-1994
1,9.23,11.64,8.75,11.64,,,"1,432,677",MSW,31-12-1993
111,1.760,1.980,1.470,1.598,-8.16%,-0.142,"4,921,135",MSZ,30-06-2022
110,1.950,1.975,1.120,1.740,-10.54%,-0.205,"7,701,080",MSZ,31-03-2022
109,1.900,2.080,1.650,1.945,+1.83%,+0.035,"6,651,459",MSZ,31-12-2021
108,1.580,2.270,1.455,1.910,+20.50%,+0.325,"21,005,167",MSZ,30-09-2021
107,1.455,1.780,1.420,1.585,+8.93%,+0.130,"10,327,995",MSZ,30-06-2021
106,1.350,1.800,1.265,1.455,+9.40%,+0.125,"20,912,682",MSZ,31-03-2021
105,0.824,1.330,0.792,1.330,+61.02%,+0.504,"12,067,246",MSZ,31-12-2020
104,0.826,0.970,0.752,0.826,-0.24%,-0.002,"8,779,389",MSZ,30-09-2020
103,0.526,0.930,0.480,0.828,+58.62%,+0.306,"16,272,665",MSZ,30-06-2020
102,0.829,0.880,0.480,0.522,-36.96%,-0.306,"10,762,914",MSZ,31-03-2020
101,0.693,0.848,0.670,0.828,+23.58%,+0.158,"4,955,342",MSZ,31-12-2019
100,0.980,1.000,0.666,0.670,-31.63%,-0.310,"2,835,278",MSZ,30-09-2019
99,1.086,1.086,0.751,0.980,-2.00%,-0.020,"8,221,130",MSZ,30-06-2019
98,0.460,1.000,0.400,1.000,+108.33%,+0.520,"17,004,399",MSZ,31-03-2019
97,0.480,0.500,0.380,0.480,+4.35%,+0.020,"6,368,383",MSZ,31-12-2018
96,0.580,0.620,0.440,0.460,-20.69%,-0.120,"8,321,577",MSZ,30-09-2018
95,1.180,1.400,0.300,0.580,-50.85%,-0.600,"93,488,101",MSZ,30-06-2018
94,1.300,1.520,1.080,1.180,-7.81%,-0.100,"13,365,521",MSZ,31-03-2018
93,1.700,1.740,1.220,1.280,-23.81%,-0.400,"9,102,174",MSZ,31-12-2017
92,1.900,1.960,1.580,1.680,-11.58%,-0.220,"4,697,996",MSZ,30-09-2017
91,2.420,2.500,1.660,1.900,-20.17%,-0.480,"8,953,526",MSZ,30-06-2017
90,2.300,3.120,2.260,2.380,+3.48%,+0.080,"17,611,391",MSZ,31-03-2017
89,2.080,2.640,2.060,2.300,+10.58%,+0.220,"6,181,568",MSZ,31-12-2016
88,2.380,2.880,2.020,2.080,-12.61%,-0.300,"3,359,207",MSZ,30-09-2016
87,3.580,3.580,2.240,2.380,-33.15%,-1.180,"4,605,123",MSZ,30-06-2016
86,2.660,3.600,2.240,3.560,+30.88%,+0.840,"5,959,379",MSZ,31-03-2016
85,3.400,3.780,2.280,2.720,-20.00%,-0.680,"4,802,978",MSZ,31-12-2015
84,3.939,4.407,3.360,3.400,-13.68%,-0.539,"3,128,985",MSZ,30-09-2015
83,4.388,4.992,3.822,3.939,-9.82%,-0.429,"4,895,670",MSZ,30-06-2015
82,4.329,4.836,4.017,4.368,+0.90%,+0.039,"5,896,216",MSZ,31-03-2015
81,4.563,4.778,4.115,4.329,-4.72%,-0.215,"6,590,874",MSZ,31-12-2014
80,3.627,4.661,3.354,4.544,+26.63%,+0.956,"7,006,140",MSZ,30-09-2014
79,4.056,4.115,3.198,3.588,-11.96%,-0.488,"8,001,956",MSZ,30-06-2014
78,3.725,4.485,3.120,4.076,+6.64%,+0.254,"8,142,809",MSZ,31-03-2014
77,2.691,4.134,2.535,3.822,+41.00%,+1.111,"13,106,831",MSZ,31-12-2013
76,2.516,2.769,2.204,2.711,+6.93%,+0.176,"8,831,638",MSZ,30-09-2013
75,2.438,3.081,2.145,2.535,+4.84%,+0.117,"10,468,755",MSZ,30-06-2013
74,2.282,2.867,2.184,2.418,+8.77%,+0.195,"8,425,064",MSZ,31-03-2013
73,2.360,2.496,2.028,2.223,-7.32%,-0.176,"2,536,347",MSZ,31-12-2012
72,2.028,2.594,1.560,2.399,+18.27%,+0.371,"4,981,999",MSZ,30-09-2012
71,2.964,3.003,1.892,2.028,-31.58%,-0.936,"3,360,189",MSZ,30-06-2012
70,2.477,3.588,2.477,2.964,+18.75%,+0.468,"6,086,924",MSZ,31-03-2012
69,2.028,3.237,1.970,2.496,+19.62%,+0.409,"6,716,085",MSZ,31-12-2011
68,5.074,5.112,1.931,2.087,-58.69%,-2.964,"6,395,411",MSZ,30-09-2011
67,5.207,5.655,4.825,5.051,-3.00%,-0.156,"4,593,266",MSZ,30-06-2011
66,5.361,5.973,4.863,5.207,-2.91%,-0.156,"8,779,789",MSZ,31-03-2011
65,6.739,6.950,5.303,5.363,-20.20%,-1.357,"5,995,578",MSZ,31-12-2010
64,6.529,7.371,6.452,6.720,+2.93%,+0.191,"2,397,004",MSZ,30-09-2010
63,8.864,9.381,6.433,6.529,-26.03%,-2.297,"4,879,512",MSZ,30-06-2010
62,7.639,9.094,7.084,8.826,+16.41%,+1.244,"7,256,117",MSZ,31-03-2010
61,8.520,9.247,7.313,7.582,-10.00%,-0.842,"7,164,186",MSZ,31-12-2009
60,9.132,12.368,8.424,8.424,-9.28%,-0.862,"9,078,483",MSZ,30-09-2009
59,6.012,11.181,5.839,9.286,+56.96%,+3.370,"7,017,193",MSZ,30-06-2009
58,5.916,6.605,4.021,5.916,+3.00%,+0.172,"4,261,422",MSZ,31-03-2009
57,10.836,11.085,4.997,5.744,-46.90%,-5.073,"8,730,082",MSZ,31-12-2008
56,12.674,12.981,10.300,10.817,-15.80%,-2.030,"5,965,972",MSZ,30-09-2008
55,17.537,18.265,12.291,12.847,-27.46%,-4.863,"8,252,324",MSZ,30-06-2008
54,15.489,19.700,10.549,17.710,+15.63%,+2.394,"11,057,176",MSZ,31-03-2008
53,21.214,23.548,12.253,15.316,-30.01%,-6.566,"13,487,076",MSZ,31-12-2007
52,29.580,32.892,17.843,21.882,-26.97%,-8.082,"16,916,368",MSZ,30-09-2007
51,20.868,35.210,16.848,29.964,+42.41%,+8.924,"33,822,724",MSZ,30-06-2007
50,7.830,21.442,7.275,21.040,+167.39%,+13.171,"28,075,829",MSZ,31-03-2007
49,5.303,8.501,5.074,7.869,+50.55%,+2.642,"8,399,326",MSZ,31-12-2006
48,3.389,6.605,3.370,5.227,+54.24%,+1.838,"12,207,691",MSZ,30-09-2006
47,4.576,6.433,2.565,3.389,-25.94%,-1.187,"9,627,101",MSZ,30-06-2006
46,2.661,5.839,2.642,4.576,+73.19%,+1.934,"19,320,023",MSZ,31-03-2006
45,2.623,3.561,2.068,2.642,-1.43%,-0.038,"12,891,614",MSZ,31-12-2005
44,1.474,3.217,1.378,2.680,+79.47%,+1.187,"18,093,931",MSZ,30-09-2005
43,1.283,1.589,1.072,1.493,+16.42%,+0.211,"3,621,306",MSZ,30-06-2005
42,1.417,1.512,1.149,1.283,-9.45%,-0.134,"4,162,520",MSZ,31-03-2005
41,1.589,1.647,1.034,1.417,-10.85%,-0.172,"5,509,652",MSZ,31-12-2004
40,1.570,1.895,1.436,1.589,+3.73%,+0.057,"3,514,549",MSZ,30-09-2004
39,2.336,3.523,1.474,1.532,-34.42%,-0.804,"8,738,318",MSZ,30-06-2004
38,1.053,2.680,1.015,2.336,+121.82%,+1.283,"12,463,171",MSZ,31-03-2004
37,1.302,1.340,0.996,1.053,-20.30%,-0.268,"2,785,895",MSZ,31-12-2003
36,1.053,1.532,0.919,1.321,+23.22%,+0.249,"8,149,368",MSZ,30-09-2003
35,0.919,1.321,0.919,1.072,+14.29%,+0.134,"4,978,306",MSZ,30-06-2003
34,2.125,2.221,0.785,0.938,-55.46%,-1.168,"8,299,682",MSZ,31-03-2003
33,1.915,3.063,1.857,2.106,+13.40%,+0.249,"4,130,508",MSZ,31-12-2002
32,4.959,5.342,1.455,1.857,-62.83%,-3.140,"7,331,206",MSZ,30-09-2002
31,8.060,8.328,4.997,4.997,-37.56%,-3.006,"1,187,003",MSZ,30-06-2002
30,11.334,12.368,8.003,8.003,-30.45%,-3.503,"857,001",MSZ,31-03-2002
29,8.845,13.210,8.673,11.506,+31.51%,+2.757,"819,068",MSZ,31-12-2001
28,11.506,11.755,8.673,8.749,-23.32%,-2.662,"810,145",MSZ,30-09-2001
27,13.555,15.546,10.817,11.411,-15.34%,-2.067,"1,438,078",MSZ,30-06-2001
26,15.450,16.389,10.894,13.478,-12.76%,-1.972,"4,014,199",MSZ,31-03-2001
25,18.704,19.224,15.029,15.450,-17.40%,-3.254,"875,909",MSZ,31-12-2000
24,23.856,24.374,18.533,18.704,-21.02%,-4.978,"1,007,996",MSZ,30-09-2000
23,20.774,26.094,18.533,23.682,+14.00%,+2.908,"4,060,262",MSZ,30-06-2000
22,22.228,23.186,16.561,20.774,-3.56%,-0.766,"6,023,809",MSZ,31-03-2000
21,16.484,21.806,15.795,21.540,+32.05%,+5.228,"5,023,742",MSZ,31-12-1999
20,21.290,22.496,15.967,16.312,-22.12%,-4.632,"2,944,199",MSZ,30-09-1999
19,17.863,23.512,15.967,20.944,+16.13%,+2.909,"4,117,455",MSZ,30-06-1999
18,23.512,24.544,17.518,18.035,-19.21%,-4.289,"1,587,580",MSZ,31-03-1999
17,20.944,24.028,18.207,22.324,-3.72%,-0.862,"747,803",MSZ,31-12-1998
16,31.074,33.982,17.173,23.186,-31.43%,-10.626,"646,239",MSZ,30-09-1998
15,35.362,35.878,28.336,33.812,-1.50%,-0.516,"791,802",MSZ,30-06-1998
14,31.762,39.478,28.662,34.328,+9.87%,+3.084,"778,291",MSZ,31-03-1998
13,34.672,36.914,27.990,31.244,-8.98%,-3.084,"817,110",MSZ,31-12-1997
12,31.244,36.914,31.244,34.328,+10.47%,+3.254,"910,220",MSZ,30-09-1997
11,32.624,41.202,30.212,31.074,-10.38%,-3.598,"1,223,353",MSZ,30-06-1997
10,25.752,34.672,24.890,34.672,+36.47%,+9.266,"991,682",MSZ,31-03-1997
9,21.118,25.752,18.360,25.406,+20.30%,+4.288,"859,578",MSZ,31-12-1996
8,21.806,23.512,17.346,21.118,-5.40%,-1.206,"603,491",MSZ,30-09-1996
7,23.186,24.716,19.912,22.324,-3.72%,-0.862,"1,388,391",MSZ,30-06-1996
6,14.244,25.752,14.244,23.186,+62.78%,+8.942,"1,957,936",MSZ,31-03-1996
5,13.306,14.244,11.679,14.244,+9.25%,+1.206,"1,602,109",MSZ,31-12-1995
4,12.368,13.727,11.238,13.038,+8.44%,+1.015,"2,234,617",MSZ,30-09-1995
3,7.046,13.900,7.046,12.023,+68.81%,+4.901,"2,840,475",MSZ,30-06-1995
2,9.094,9.611,6.873,7.122,-16.96%,-1.455,"1,184,217",MSZ,31-03-1995
1,16.657,16.657,6.184,8.577,,,"2,065,329",MSZ,31-12-1994
97,5.60,6.00,5.25,5.80,+3.57%,+0.20,"63,437",MZA,30-06-2022
96,5.20,5.80,5.20,5.60,+9.80%,+0.50,"50,051",MZA,31-03-2022
95,5.55,5.90,4.82,5.10,-11.30%,-0.65,"93,617",MZA,31-12-2021
94,6.57,6.84,5.30,5.75,-12.51%,-0.82,"298,809",MZA,30-09-2021
93,3.136,6.57,3.082,6.57,+107.14%,+3.40,"335,517",MZA,30-06-2021
92,2.701,3.52,2.665,3.17,+24.11%,+0.62,"157,303",MZA,31-03-2021
91,2.266,3.46,2.085,2.556,+11.91%,+0.272,"162,006",MZA,31-12-2020
90,2.230,2.321,2.049,2.284,+2.44%,+0.054,"80,261",MZA,30-09-2020
89,1.940,2.321,1.904,2.230,+11.82%,+0.236,"40,504",MZA,30-06-2020
88,2.484,2.502,1.886,1.994,-19.71%,-0.489,"60,458",MZA,31-03-2020
87,2.375,2.556,2.339,2.484,+0.73%,+0.018,"30,191",MZA,31-12-2019
86,2.629,2.629,2.411,2.466,-6.21%,-0.163,"26,151",MZA,30-09-2019
85,2.556,2.810,2.321,2.629,+2.84%,+0.073,"41,995",MZA,30-06-2019
84,2.52,2.738,2.52,2.556,+6.02%,+0.145,"62,796",MZA,31-03-2019
83,2.593,2.629,2.411,2.411,-6.99%,-0.181,"12,925",MZA,31-12-2018
82,2.846,2.973,2.593,2.593,-8.92%,-0.254,"21,124",MZA,30-09-2018
81,3.136,3.19,2.719,2.846,-9.25%,-0.290,"56,832",MZA,30-06-2018
80,3.21,3.59,2.901,3.136,-2.26%,-0.072,"75,543",MZA,31-03-2018
79,2.982,3.47,2.973,3.21,+7.60%,+0.23,"99,552",MZA,31-12-2017
78,3.109,3.42,2.774,2.982,+3.46%,+0.100,"103,419",MZA,30-09-2017
77,3.32,3.46,2.783,2.883,-16.75%,-0.580,"82,576",MZA,30-06-2017
76,3.16,4.07,2.946,3.46,+9.45%,+0.30,"193,674",MZA,31-03-2017
75,3.75,3.78,3.037,3.16,-13.83%,-0.51,"53,268",MZA,31-12-2016
74,3.34,3.95,2.946,3.67,+9.46%,+0.32,"107,277",MZA,30-09-2016
73,3.94,4.12,2.729,3.35,-17.59%,-0.72,"63,405",MZA,30-06-2016
72,2.484,4.25,2.176,4.07,+57.54%,+1.49,"163,704",MZA,31-03-2016
71,2.692,2.901,2.266,2.584,-10.38%,-0.299,"57,153",MZA,31-12-2015
70,3.16,3.35,2.683,2.883,-3.05%,-0.091,"16,538",MZA,30-09-2015
69,2.855,3.53,2.719,2.973,+4.13%,+0.118,"54,867",MZA,30-06-2015
68,2.774,3.22,2.556,2.855,+2.94%,+0.082,"71,442",MZA,31-03-2015
67,2.774,3.073,2.538,2.774,-3.17%,-0.091,"38,549",MZA,31-12-2014
66,3.19,3.22,2.402,2.865,-9.45%,-0.299,"85,740",MZA,30-09-2014
65,3.073,4.31,2.910,3.16,+2.95%,+0.09,"419,970",MZA,30-06-2014
64,3.16,3.51,2.991,3.073,-2.87%,-0.091,"64,441",MZA,31-03-2014
63,2.801,3.16,2.584,3.16,+12.95%,+0.36,"67,291",MZA,31-12-2013
62,3.064,3.17,2.484,2.801,-3.74%,-0.109,"156,154",MZA,30-09-2013
61,3.42,3.47,2.012,2.910,-14.85%,-0.508,"44,431",MZA,30-06-2013
60,3.39,3.47,2.792,3.42,+8.33%,+0.26,"141,707",MZA,31-03-2013
59,3.35,3.60,2.901,3.155,-5.95%,-0.200,"93,653",MZA,31-12-2012
58,3.89,3.90,3.155,3.35,-14.35%,-0.56,"53,926",MZA,30-09-2012
57,4.34,4.46,3.64,3.92,-9.81%,-0.43,"61,343",MZA,30-06-2012
56,4.26,5.10,4.02,4.34,+3.01%,+0.13,"194,567",MZA,31-03-2012
55,4.67,4.98,3.91,4.22,-10.58%,-0.50,"227,227",MZA,31-12-2011
54,5.59,6.16,3.85,4.71,-15.72%,-0.88,"444,655",MZA,30-09-2011
53,6.75,7.19,5.44,5.59,-16.85%,-1.13,"544,286",MZA,30-06-2011
52,7.25,8.15,6.41,6.73,-6.55%,-0.47,"1,801,967",MZA,31-03-2011
51,15.05,15.82,6.98,7.20,-52.71%,-8.02,"3,413,157",MZA,31-12-2010
50,12.50,19.49,11.26,15.22,+28.86%,+3.41,"798,992",MZA,30-09-2010
49,6.83,14.23,6.03,11.81,+72.81%,+4.98,"275,316",MZA,30-06-2010
48,7.17,7.52,6.41,6.83,-4.56%,-0.33,"30,887",MZA,31-03-2010
47,7.34,7.35,6.36,7.16,-2.71%,-0.20,"37,964",MZA,31-12-2009
46,7.70,7.71,6.82,7.36,-4.36%,-0.34,"58,160",MZA,30-09-2009
45,7.03,7.98,6.81,7.70,+4.82%,+0.35,"114,788",MZA,30-06-2009
44,6.68,8.16,6.40,7.34,+7.57%,+0.52,"134,280",MZA,31-03-2009
43,8.16,8.52,6.35,6.83,-12.95%,-1.02,"272,633",MZA,31-12-2008
42,5.63,9.43,5.37,7.84,+34.95%,+2.03,"617,790",MZA,30-09-2008
41,5.84,6.30,4.59,5.81,-0.47%,-0.03,"381,713",MZA,30-06-2008
40,6.39,6.98,5.46,5.84,-8.65%,-0.55,"361,755",MZA,31-03-2008
39,6.07,9.61,5.82,6.39,+2.77%,+0.17,"1,415,202",MZA,31-12-2007
38,8.43,8.65,5.26,6.22,-26.24%,-2.21,"711,620",MZA,30-09-2007
37,8.97,11.10,7.48,8.43,-10.58%,-1.00,"2,081,196",MZA,30-06-2007
36,6.02,10.06,5.44,9.43,+56.63%,+3.41,"1,887,045",MZA,31-03-2007
35,6.80,8.06,5.62,6.02,-12.63%,-0.87,"1,451,218",MZA,31-12-2006
34,6.80,9.20,5.98,6.89,+5.56%,+0.36,"2,668,793",MZA,30-09-2006
33,11.88,14.41,4.76,6.53,-44.83%,-5.30,"3,594,390",MZA,30-06-2006
32,3.58,15.09,3.50,11.83,+227.87%,+8.22,"11,677,119",MZA,31-03-2006
31,2.883,4.53,2.747,3.61,+25.16%,+0.73,"1,335,315",MZA,31-12-2005
30,2.874,3.39,2.719,2.883,+4.95%,+0.136,"172,912",MZA,30-09-2005
29,3.76,4.08,2.747,2.747,-25.19%,-0.925,"58,862",MZA,30-06-2005
28,4.80,4.80,3.67,3.67,-22.12%,-1.04,"40,542",MZA,31-03-2005
27,4.67,5.98,4.53,4.71,-3.70%,-0.18,"122,598",MZA,31-12-2004
26,5.21,5.21,4.58,4.90,-7.69%,-0.41,"65,484",MZA,30-09-2004
25,4.99,6.80,4.71,5.30,+6.36%,+0.32,"56,802",MZA,30-06-2004
24,4.90,5.57,4.58,4.99,-4.35%,-0.23,"39,026",MZA,31-03-2004
23,5.12,5.30,4.39,5.21,0.00%,0.00,"21,055",MZA,31-12-2003
22,4.44,5.89,4.08,5.21,+15.23%,+0.69,"111,573",MZA,30-09-2003
21,3.35,8.07,3.35,4.52,+23.21%,+0.85,"141,867",MZA,30-06-2003
20,4.53,5.98,3.35,3.67,-19.00%,-0.86,"281,781",MZA,31-03-2003
19,4.58,5.26,3.41,4.53,-5.66%,-0.27,"126,536",MZA,31-12-2002
18,5.03,5.35,4.35,4.80,-10.92%,-0.59,"52,338",MZA,30-09-2002
17,6.35,6.80,4.53,5.39,-20.67%,-1.41,"62,723",MZA,30-06-2002
16,12.69,12.69,5.85,6.80,-51.30%,-7.16,"67,649",MZA,31-03-2002
15,16.72,16.72,12.33,13.96,-12.00%,-1.90,"88,245",MZA,31-12-2001
14,15.59,17.95,13.60,15.86,+3.24%,+0.50,"76,818",MZA,30-09-2001
13,15.68,16.82,13.69,15.37,-2.59%,-0.41,"88,305",MZA,30-06-2001
12,14.78,16.59,10.61,15.77,+8.75%,+1.27,"197,622",MZA,31-03-2001
11,16.77,18.40,12.06,14.50,-13.27%,-2.22,"187,354",MZA,31-12-2000
10,16.77,17.31,14.96,16.72,-2.90%,-0.50,"319,704",MZA,30-09-2000
9,13.60,19.04,11.88,17.22,+26.67%,+3.63,"228,897",MZA,30-06-2000
8,7.98,18.22,7.43,13.60,+76.47%,+5.89,"740,895",MZA,31-03-2000
7,5.21,8.07,5.17,7.71,+49.12%,+2.54,"346,723",MZA,31-12-1999
6,7.61,8.16,5.17,5.17,-30.49%,-2.27,"350,163",MZA,30-09-1999
5,6.39,7.80,6.25,7.43,+17.14%,+1.09,"688,061",MZA,30-06-1999
4,7.03,7.16,6.12,6.35,-6.67%,-0.45,"431,546",MZA,31-03-1999
3,5.48,7.48,4.53,6.80,+15.39%,+0.91,"525,478",MZA,31-12-1998
2,10.97,11.24,5.89,5.89,-43.96%,-4.62,"282,019",MZA,30-09-1998
1,20.58,20.58,9.25,10.52,,,"489,829",MZA,30-06-1998
60,5.90,7.50,5.60,6.50,+10.17%,+0.60,"53,696",MWT,30-06-2022
59,4.92,6.00,4.44,5.90,+18.47%,+0.92,"408,880",MWT,31-03-2022
58,4.94,5.08,4.15,4.98,+0.40%,+0.02,"252,206",MWT,31-12-2021
57,3.74,5.50,3.42,4.96,+32.62%,+1.22,"796,158",MWT,30-09-2021
56,3.58,4.40,3.06,3.74,0.00%,0.00,"318,746",MWT,30-06-2021
55,1.89,5.60,1.82,3.74,+105.49%,+1.92,"1,546,021",MWT,31-03-2021
54,1.84,1.90,1.39,1.82,0.00%,0.00,"289,424",MWT,31-12-2020
53,2.10,2.22,1.80,1.82,-13.33%,-0.28,"644,115",MWT,30-09-2020
52,1.576,2.88,1.163,2.10,+32.33%,+0.51,"3,611,221",MWT,30-06-2020
51,1.794,1.902,1.467,1.587,-12.04%,-0.217,"252,496",MWT,31-03-2020
50,1.989,2.00,1.685,1.804,-9.29%,-0.185,"193,879",MWT,31-12-2019
49,1.598,2.196,1.489,1.989,+21.19%,+0.348,"594,465",MWT,30-09-2019
48,1.761,1.837,1.478,1.641,-12.72%,-0.239,"269,915",MWT,30-06-2019
47,1.533,2.565,1.533,1.880,+20.14%,+0.315,"318,193",MWT,31-03-2019
46,1.565,1.957,1.359,1.565,0.00%,0.000,"678,526",MWT,31-12-2018
45,2.772,2.772,1.098,1.565,-45.14%,-1.288,"1,049,378",MWT,30-09-2018
44,2.840,3.27,2.765,2.853,-0.43%,-0.012,"166,123",MWT,30-06-2018
43,2.941,4.05,2.589,2.866,-5.78%,-0.176,"188,479",MWT,31-03-2018
42,3.49,3.49,2.675,3.041,-12.95%,-0.453,"242,170",MWT,31-12-2017
41,3.48,3.84,3.36,3.49,+0.29%,+0.01,"209,079",MWT,30-09-2017
40,4.87,5.18,3.31,3.48,-27.49%,-1.32,"283,503",MWT,30-06-2017
39,4.88,5.41,4.71,4.80,-1.43%,-0.07,"415,812",MWT,31-03-2017
38,5.83,6.25,4.76,4.87,-16.27%,-0.95,"83,019",MWT,31-12-2016
37,6.53,6.65,5.36,5.82,-10.79%,-0.70,"66,260",MWT,30-09-2016
36,6.94,7.18,6.06,6.53,-5.31%,-0.37,"78,518",MWT,30-06-2016
35,6.63,7.36,6.20,6.89,+9.28%,+0.59,"244,337",MWT,31-03-2016
34,7.04,7.33,5.63,6.31,-11.17%,-0.79,"298,286",MWT,31-12-2015
33,7.08,7.15,6.07,7.10,+2.49%,+0.17,"125,218",MWT,30-09-2015
32,7.59,8.06,6.44,6.93,-8.77%,-0.67,"733,166",MWT,30-06-2015
31,7.27,8.13,6.44,7.59,+2.20%,+0.16,"486,877",MWT,31-03-2015
30,7.39,7.76,6.59,7.43,+0.67%,+0.05,"541,481",MWT,31-12-2014
29,7.17,7.55,5.99,7.38,+3.10%,+0.22,"532,187",MWT,30-09-2014
28,8.50,8.60,6.49,7.16,-16.38%,-1.40,"1,188,466",MWT,30-06-2014
27,8.54,8.66,6.91,8.56,+2.11%,+0.18,"873,748",MWT,31-03-2014
26,7.47,8.74,7.12,8.38,+12.16%,+0.91,"1,297,658",MWT,31-12-2013
25,5.33,7.75,5.23,7.47,+40.68%,+2.16,"1,423,591",MWT,30-09-2013
24,3.94,5.41,3.94,5.31,+32.43%,+1.30,"1,013,645",MWT,30-06-2013
23,3.66,4.31,2.999,4.01,+9.18%,+0.34,"1,228,535",MWT,31-03-2013
22,3.17,3.71,2.632,3.67,+15.98%,+0.51,"405,433",MWT,31-12-2012
21,3.17,3.45,2.512,3.17,+0.59%,+0.02,"409,744",MWT,30-09-2012
20,4.05,4.15,2.849,3.149,-21.79%,-0.877,"730,338",MWT,30-06-2012
19,2.662,4.50,2.628,4.03,+53.43%,+1.40,"1,889,303",MWT,31-03-2012
18,2.819,3.93,2.497,2.624,-12.71%,-0.382,"1,483,570",MWT,31-12-2011
17,5.50,5.66,3.007,3.007,-46.54%,-2.617,"3,126,638",MWT,30-09-2011
16,7.04,7.94,5.00,5.62,-19.35%,-1.35,"3,849,628",MWT,30-06-2011
15,6.27,7.31,5.32,6.97,+10.52%,+0.66,"4,257,226",MWT,31-03-2011
14,6.77,6.88,5.17,6.31,-7.02%,-0.48,"4,672,781",MWT,31-12-2010
13,2.568,7.75,2.501,6.79,+163.49%,+4.21,"12,952,312",MWT,30-09-2010
12,1.901,3.052,1.803,2.576,+35.51%,+0.675,"6,618,281",MWT,30-06-2010
11,1.368,1.912,1.331,1.901,+38.90%,+0.532,"3,430,067",MWT,31-03-2010
10,0.986,1.462,0.840,1.368,+38.25%,+0.379,"4,826,070",MWT,31-12-2009
9,0.769,1.241,0.769,0.990,+30.70%,+0.233,"7,838,234",MWT,30-09-2009
8,0.581,0.817,0.577,0.757,+28.66%,+0.169,"5,122,646",MWT,30-06-2009
7,0.787,0.866,0.337,0.589,-27.32%,-0.221,"9,537,417",MWT,31-03-2009
6,1.350,1.440,0.750,0.810,-43.16%,-0.615,"476,658",MWT,31-12-2008
5,1.627,2.249,1.166,1.425,-19.14%,-0.337,"746,089",MWT,30-09-2008
4,2.347,2.801,1.447,1.762,-29.74%,-0.746,"547,612",MWT,30-06-2008
3,3.22,3.31,2.231,2.508,-18.42%,-0.566,"380,118",MWT,31-03-2008
2,2.879,3.69,2.047,3.074,+6.77%,+0.195,"1,468,997",MWT,31-12-2007
1,3.75,3.75,2.624,2.879,,,"349,574",MWT,30-09-2007
19,3.080,3.100,1.132,1.296,-56.80%,-1.704,"1,249,713",NNG,30-06-2022
18,3.600,4.560,2.880,3.000,-16.43%,-0.590,"916,510",NNG,31-03-2022
17,5.260,5.290,3.110,3.590,-31.62%,-1.660,"1,345,288",NNG,31-12-2021
16,5.150,5.600,4.300,5.250,+1.94%,+0.100,"1,065,157",NNG,30-09-2021
15,7.540,7.680,4.695,5.150,-30.87%,-2.300,"1,712,077",NNG,30-06-2021
14,4.380,9.200,4.380,7.450,+70.09%,+3.070,"13,756,629",NNG,31-03-2021
13,3.460,13.000,2.840,4.380,+38.61%,+1.220,"6,542,424",NNG,31-12-2020
12,2.320,3.800,1.740,3.160,+36.21%,+0.840,"829,056",NNG,30-09-2020
11,1.400,2.960,1.400,2.320,+65.71%,+0.920,"260,870",NNG,30-06-2020
10,1.520,2.720,1.400,1.400,-5.41%,-0.080,"227,841",NNG,31-03-2020
9,1.710,2.220,1.400,1.480,-20.43%,-0.380,"106,101",NNG,31-12-2019
8,2.800,3.600,1.860,1.860,-26.19%,-0.660,"22,591",NNG,30-09-2019
7,3.140,3.140,2.460,2.520,-20.00%,-0.630,"16,838",NNG,30-06-2019
6,2.400,3.360,2.400,3.150,+29.10%,+0.710,"38,695",NNG,31-03-2019
5,4.000,4.000,2.400,2.440,-39.75%,-1.610,"27,413",NNG,31-12-2018
4,3.850,4.190,3.650,4.050,+3.85%,+0.150,"12,307",NNG,30-09-2018
3,3.950,4.200,2.750,3.900,-8.24%,-0.350,"38,931",NNG,30-06-2018
2,3.200,5.200,3.200,4.250,+32.81%,+1.050,"213,681",NNG,31-03-2018
