No,open,high,low,close,perc_change,abs_change,vol,period
97,53985.99,57460.44,51817.29,53328.98,-1.41%,-762.34,"2,423,830,442",30-06-2015
96,51598.39,54564.54,49931.45,54091.32,+5.20%,+2675.24,"2,657,789,215",31-03-2015
95,54715.88,54907.49,50182.53,51416.08,-6.31%,-3462.50,"2,590,824,236",31-12-2014
94,51932.32,55687.59,49321.83,54878.58,+5.67%,+2943.64,"2,620,388,530",30-09-2014
93,52358.13,53436.07,50258.57,51934.94,-0.84%,-438.53,"2,751,415,752",30-06-2014
92,51670.42,54075.89,48765.47,52373.47,+2.12%,+1089.22,"6,796,516,096",31-03-2014
91,50087.47,55384.83,49899.25,51284.25,+1.95%,+982.40,"6,009,718,032",31-12-2013
90,44759.97,51149.71,44099.12,50301.85,+12.41%,+5554.06,"5,909,949,942",30-09-2013
89,45239.35,48572.75,42842.07,44747.79,-0.89%,-399.78,"6,980,898,672",30-06-2013
88,47961.62,48222.72,44428.75,45147.57,-4.87%,-2313.02,"7,347,602,101",31-03-2013
87,43631.67,47941.82,42930.77,47460.59,+8.51%,+3720.78,"7,739,768,804",31-12-2012
86,40795.17,44217.32,38810.22,43739.81,+7.18%,+2928.93,"5,901,522,692",30-09-2012
85,41285.62,41678.83,36483.38,40810.88,-1.11%,-456.28,"5,982,340,290",30-06-2012
84,37716.67,42438.54,37329.42,41267.16,+9.77%,+3671.72,"10,228,150,598",31-03-2012
83,37377.43,41943.65,36224.64,37595.44,-1.76%,-673.31,"8,596,151,776",31-12-2011
82,48465.55,49093.63,35348.98,38268.75,-20.96%,-10145.61,"7,691,709,056",30-09-2011
81,48860.48,50501.79,47575.55,48414.36,-0.65%,-315.47,"6,251,110,765",30-06-2011
80,47649.12,49073.05,46148.55,48729.83,+2.61%,+1239.92,"5,510,152,318",31-03-2011
79,45124.44,47911.57,45035.39,47489.91,+4.98%,+2253.19,"5,699,689,066",31-12-2010
78,39123.20,45236.72,39003.90,45236.72,+14.84%,+5844.22,"5,236,959,404",30-09-2010
77,42644.80,44302.50,38900.20,39392.50,-7.19%,-3054.00,"5,134,600,532",30-06-2010
76,40156.10,42731.40,37038.90,42446.50,+6.15%,+2460.50,"6,064,650,204",31-03-2010
75,37758.80,40912.90,36934.50,39986.00,+6.40%,+2405.70,"4,579,605,745",31-12-2009
74,30475.20,39185.40,29210.00,37580.30,+23.54%,+7161.30,"6,548,728,962",30-09-2009
73,24327.80,32362.70,23691.90,30419.00,+26.56%,+6382.90,"7,220,785,477",30-06-2009
72,27967.80,28960.50,20370.30,24036.10,-11.72%,-3192.50,"5,388,898,747",31-03-2009
71,37451.70,38236.00,24125.40,27228.60,-27.13%,-10138.70,"4,784,626,500",31-12-2008
70,41119.60,42546.40,35688.50,37367.30,-9.18%,-3779.00,"4,225,174,527",30-09-2008
69,47890.40,49165.80,41056.30,41146.30,-14.30%,-6865.00,"3,122,293,298",30-06-2008
68,55702.50,56066.80,42506.20,48011.30,-13.72%,-7637.20,"6,445,701,287",31-03-2008
67,60285.40,64358.70,53843.10,55648.50,-7.82%,-4720.40,"5,786,694,113",31-12-2007
66,65919.80,67772.90,53969.50,60368.90,-8.64%,-5708.80,"4,902,090,060",30-09-2007
65,57197.50,66578.70,56748.00,66077.70,+14.87%,+8553.10,"5,582,377,016",30-06-2007
64,50396.20,57759.40,48814.80,57524.60,+14.11%,+7112.80,"3,624,978,926",31-03-2007
63,44297.10,52523.80,43725.40,50411.80,+14.44%,+6359.30,"2,259,280,541",31-12-2006
62,40836.60,46194.70,40383.10,44052.50,+8.38%,+3407.90,"1,561,693,653",30-09-2006
61,40199.10,45894.60,34768.30,40644.60,+1.05%,+424.30,"1,714,416,383",30-06-2006
60,35466.40,40317.10,35324.50,40220.30,+12.98%,+4619.50,"1,566,294,205",31-03-2006
59,33898.10,36082.20,31109.80,35600.80,+5.32%,+1799.60,"1,260,326,342",31-12-2005
58,28308.70,34343.50,28159.40,33801.20,+19.30%,+5469.10,"850,296,665",30-09-2005
57,27356.80,28550.50,25466.50,28332.10,+3.90%,+1064.00,"643,065,839",30-06-2005
56,26669.90,28681.50,24966.00,27268.10,+2.37%,+631.90,"853,843,327",31-03-2005
55,25183.00,26691.70,24586.10,26636.20,+5.42%,+1368.40,"776,001,404",31-12-2004
54,23910.00,25500.00,23050.90,25267.80,+5.51%,+1318.50,"488,455,549",30-09-2004
53,23846.80,25289.60,22392.30,23949.30,+0.33%,+79.20,"695,727,236",30-06-2004
52,20849.70,24271.30,20848.90,23870.10,+14.65%,+3050.00,"957,678,268",31-03-2004
51,19290.90,22158.10,18693.50,20820.10,+7.71%,+1489.60,"555,943,213",31-12-2003
50,15885.00,22310.80,15750.80,19330.50,+20.91%,+3343.00,"860,153,263",30-09-2003
49,13803.60,15989.90,13755.40,15987.50,+16.19%,+2228.10,"472,421,487",30-06-2003
48,14343.60,15168.00,13420.80,13759.40,-4.23%,-607.30,"405,119,129",31-03-2003
47,12766.00,15069.80,12646.80,14366.70,+12.26%,+1569.40,"346,739,731",31-12-2002
